epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,3030.14,2.37077,1.53306,0.00353,0.33764,0.23967,0.22538,0.11928,2.31119,1.5457,0.00439,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,3095.51,2.36456,1.5317,0.00352,0.32628,0.24056,0.22496,0.11806,2.32377,1.55171,0.00442,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,3159.28,2.36628,1.53389,0.0035,0.34639,0.24773,0.22987,0.11949,2.31296,1.53928,0.00439,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,3223.68,2.36057,1.52428,0.00349,0.34085,0.24749,0.22825,0.12126,2.30737,1.5423,0.00439,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,3287.25,2.35158,1.52532,0.00349,0.33612,0.25022,0.23036,0.1213,2.30536,1.54638,0.00438,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,3351.5,2.35082,1.51936,0.00347,0.33246,0.25178,0.23045,0.12128,2.30631,1.53778,0.00437,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,3415.93,2.34483,1.5101,0.00348,0.34014,0.24588,0.22806,0.12043,2.29566,1.54251,0.00436,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,3480.39,2.34431,1.51348,0.00347,0.3444,0.24556,0.22961,0.1214,2.30443,1.53831,0.00437,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,3544.54,2.34221,1.51689,0.00345,0.34033,0.24868,0.23227,0.12346,2.29958,1.53284,0.00436,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,3625.74,2.33137,1.50911,0.00346,0.34907,0.25042,0.23362,0.12398,2.29408,1.52513,0.00435,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,3713.63,2.33778,1.50268,0.00343,0.34423,0.24713,0.23276,0.12341,2.28952,1.53354,0.00435,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,3836.04,2.33013,1.50508,0.00343,0.34158,0.248,0.231,0.12273,2.28553,1.53556,0.00434,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,3978.92,2.31822,1.49409,0.00342,0.34694,0.25146,0.23441,0.12461,2.28277,1.5246,0.00434,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,4140.27,2.3267,1.50069,0.00342,0.34166,0.24915,0.23152,0.12157,2.29624,1.5336,0.00434,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,4291.38,2.32579,1.49855,0.00341,0.35685,0.24974,0.23649,0.12495,2.28291,1.52532,0.00433,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,4455.8,2.31312,1.48918,0.00341,0.35347,0.24892,0.23648,0.12535,2.28686,1.52814,0.00431,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,4617,2.3182,1.48915,0.00339,0.34319,0.25164,0.2366,0.12486,2.2895,1.52415,0.00432,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,4779.11,2.30298,1.48211,0.00339,0.34945,0.24965,0.23777,0.1245,2.28867,1.52236,0.00431,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,4940.62,2.30898,1.48605,0.00339,0.3473,0.24778,0.237,0.12505,2.27919,1.53061,0.00431,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,5098.77,2.30766,1.47732,0.00337,0.3452,0.2498,0.23613,0.12425,2.2831,1.52609,0.0043,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,5255.9,2.29989,1.47908,0.00338,0.34251,0.2546,0.23715,0.12603,2.27989,1.52172,0.00429,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,5412.83,2.30616,1.47593,0.00337,0.34176,0.2528,0.23488,0.12454,2.28298,1.52286,0.0043,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,5506.04,2.30229,1.47434,0.00335,0.34053,0.25108,0.23579,0.12532,2.27615,1.52256,0.00428,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,5609.37,2.28526,1.46544,0.00336,0.35431,0.25109,0.23758,0.12643,2.27105,1.51964,0.00428,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,5733.13,2.28377,1.46472,0.00335,0.3506,0.25019,0.2372,0.12594,2.27512,1.52217,0.00428,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,5856.63,2.29198,1.46265,0.00334,0.35392,0.25254,0.23833,0.12646,2.27638,1.51837,0.00427,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,5980.55,2.29286,1.46585,0.00335,0.35171,0.25009,0.23541,0.12539,2.2697,1.51899,0.00427,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,6100.12,2.28883,1.45671,0.00334,0.35711,0.25116,0.23718,0.12572,2.27447,1.51868,0.00427,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,6224.25,2.30018,1.4613,0.00331,0.35114,0.25179,0.23519,0.12484,2.26848,1.51609,0.00426,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,6345.34,2.26888,1.45038,0.00331,0.35741,0.25282,0.23815,0.12671,2.26322,1.51501,0.00425,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,6436.37,2.26513,1.44453,0.00333,0.35624,0.25287,0.23859,0.12675,2.26938,1.5152,0.00426,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,6504.29,2.27616,1.45072,0.00329,0.34879,0.25689,0.23972,0.12715,2.26545,1.51517,0.00425,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,6572.42,2.27524,1.45216,0.0033,0.34966,0.25441,0.23722,0.1256,2.26712,1.51511,0.00426,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,6640.78,2.26329,1.43981,0.00329,0.34671,0.25602,0.23798,0.12593,2.26963,1.51238,0.00426,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,6710.65,2.27126,1.446,0.00328,0.34475,0.25462,0.23841,0.12668,2.26279,1.51562,0.00424,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,6778.58,2.26446,1.44098,0.00329,0.35183,0.25437,0.23946,0.12726,2.26204,1.51264,0.00424,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,6846.55,2.26903,1.43812,0.00327,0.35283,0.25452,0.23966,0.12682,2.26524,1.51406,0.00425,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,6914.14,2.25268,1.43592,0.00327,0.3563,0.25653,0.24158,0.12857,2.26214,1.5102,0.00426,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,6981.49,2.2565,1.43456,0.00327,0.3568,0.25642,0.24044,0.12829,2.26196,1.51391,0.00424,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,7049.25,2.26152,1.43707,0.00326,0.34667,0.25565,0.23952,0.12759,2.26194,1.51302,0.00424,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,7116.77,2.25294,1.43002,0.00326,0.35593,0.2555,0.24011,0.12729,2.26069,1.51433,0.00424,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,7184.43,2.25059,1.42971,0.00323,0.3633,0.2522,0.24065,0.12805,2.26303,1.51128,0.00425,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,7252.52,2.24358,1.4202,0.00323,0.36143,0.25355,0.2393,0.12701,2.26202,1.51126,0.00425,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,7320.43,2.24871,1.42737,0.00324,0.36142,0.25454,0.24106,0.12827,2.26103,1.5086,0.00424,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,7387.21,2.24216,1.42664,0.00324,0.36366,0.2538,0.24201,0.12863,2.25835,1.50759,0.00424,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,7516.88,2.18121,1.39806,0.00335,0.35399,0.25451,0.23969,0.12774,2.26646,1.51224,0.00426,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,7579.98,2.16799,1.37505,0.00329,0.35574,0.25292,0.23944,0.12758,2.27058,1.51397,0.00427,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,7643.11,2.16282,1.37521,0.00328,0.35729,0.25087,0.23846,0.12665,2.27112,1.51439,0.00427,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,7705.17,2.15631,1.36675,0.00329,0.3539,0.2514,0.23755,0.12649,2.27014,1.51469,0.00427,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,7767.43,2.15045,1.36166,0.00327,0.3513,0.25304,0.23801,0.12684,2.2698,1.51562,0.00427,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,7830.06,2.14848,1.35869,0.00325,0.34829,0.25468,0.23755,0.12665,2.26909,1.51369,0.00426,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,7892.65,2.14512,1.35515,0.00325,0.35033,0.25332,0.23796,0.12689,2.26629,1.5142,0.00426,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,7955.34,2.14402,1.35324,0.00324,0.35021,0.25316,0.23858,0.12728,2.2668,1.513,0.00426,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,8018.15,2.1431,1.3545,0.00324,0.35032,0.25259,0.23802,0.127,2.26548,1.5146,0.00426,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,8080.95,2.13906,1.3499,0.00324,0.34883,0.25233,0.23782,0.1269,2.2644,1.51513,0.00426,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
